PC2,PC3
-71.82,-72.28
-74.07,-70.99
-73.69,-63.47
-77.05,-64.83
-71.62,-66.11
-70.2,-68.6
-68.72,-70.21
-68.05,-70.53
-70.63,-71.81
-71.3,-73.04
-74.51,-74.32
-77.07,-78.3
-78.11,-78.07
-77.09,-76.31
-76.06,-74.08
-77.63,-74.26
-77.54,-73.03
-77.92,-77.81
-78.03,-76.44
-71.63,-77.94
-78.58,-81.86
-79.73,-80.13
-77.2,-78.72
-75.1,-81.18
-76.93,-74.05
-73.78,-75.24
-74.39,-72.5
-72.42,-74.28
-71.29,-73.64
-74.29,-70.22
-77.46,-68.4
-77.84,-66.44
-78.34,-75.14
-78.66,-79.26
-80.13,-79.0
-79.49,-76.61
-78.65,-78.73
-79.36,-76.12
-78.02,-75.91
-77.54,-77.71
-77.69,-78.69
-78.32,-80.08
-79.34,-81.76
-75.89,-83.28
-75.04,-80.12
-75.21,-78.71
-75.82,-77.76
-75.85,-76.92
-74.96,-76.52
-75.17,-75.32
-75.09,-77.87
-76.08,-78.63
-78.7,-77.55
-76.63,-77.69
-76.65,-75.6
-79.89,-76.86
-82.31,-77.5
-81.97,-78.26
-80.69,-78.39
-80.85,-77.14
-76.98,-76.19
-76.0,-78.59
-77.25,-77.43
-77.82,-77.18
-77.63,-78.71
-75.34,-77.42
-74.05,-77.11
-75.3,-77.33
-77.01,-79.21
-77.11,-79.79
-75.12,-76.65
-72.94,-78.2
-74.0,-78.08
-72.96,-78.4
-75.17,-81.84
-76.79,-77.77
-74.81,-76.03
-74.09,-76.6
-82.0,-77.78
-83.08,-82.77
-84.73,-84.72
-84.61,-84.67
-86.2,-86.05
-87.33,-86.0
-87.41,-84.58
-87.16,-88.12
-88.8,-88.91
-88.04,-87.26
-88.1,-87.1
-87.03,-86.7
-86.78,-85.48
-83.81,-85.21
-80.45,-83.83
-81.69,-80.82
-83.23,-84.66
-86.35,-84.18
-86.02,-84.54
-82.75,-85.27
-80.34,-84.13
-83.07,-85.08
-82.04,-82.22
-79.65,-82.32
-82.73,-83.99
-83.59,-86.63
-83.79,-84.44
-85.46,-84.26
-85.56,-86.52
-84.92,-87.92
-85.04,-88.29
-86.61,-85.56
-87.0,-87.03
-87.94,-88.86
-89.21,-87.46
-87.56,-87.86
-87.54,-86.54
-89.96,-88.32
-87.26,-86.87
-85.77,-88.53
-83.53,-86.48
-84.89,-87.41
-86.29,-86.88
-91.3,-89.16
-83.84,-86.82
-85.2,-85.77
-87.14,-87.84
-93.72,-92.74
-92.34,-95.03
-95.02,-94.94
-95.99,-93.95
-100.11,-93.94
-95.61,-91.87
-95.1,-92.39
-96.85,-94.23
-97.1,-94.91
-100.53,-95.25
-99.57,-96.63
-97.8,-97.65
-97.4,-98.07
-99.35,-94.37
-100.4,-96.54
-99.14,-98.8
-101.6,-101.04
-102.6,-101.94
-102.32,-102.71
-102.26,-99.65
-99.68,-97.14
-98.7,-97.3
-103.29,-98.99
-106.12,-102.8
-106.09,-101.87
-106.62,-99.54
-107.61,-96.83
-104.02,-97.39
-105.6,-94.01
-106.52,-95.42
-106.79,-98.09
-107.74,-100.34
-107.43,-99.65
-106.6,-100.73
-106.39,-102.08
-104.68,-102.16
-104.58,-101.67
-104.69,-100.94
-105.56,-99.77
-109.51,-101.37
-109.42,-102.92
-110.2,-107.1
-114.71,-108.2
-120.07,-103.36
-106.1,-98.26
-105.42,-98.21
-104.38,-95.82
-105.92,-96.31
-108.69,-101.2
-103.49,-102.64
-102.85,-101.47
-103.17,-102.8
-103.73,-116.08
-104.77,-107.3
-109.36,-106.31
-110.17,-114.02
-114.52,-120.77
-103.51,
-108.24,
-109.05,
-155.84,
-155.99,
-156.0,
-110.13,
-153.42,
-155.15,
